aff_raw,count
École Polytechnique,147
Anhui University,146
Ulsan National Institute of Science and Technology,146
"School of Computer Science, Wuhan University",145
"School of Engineering, Westlake University",145
Xi'an University of Electronic Science and Technology,144
Shanghai University,143
"Academy for Engineering and Technology, Fudan University",142
Lehigh University,141
Worcester Polytechnic Institute,141
Genentech,141
J.P. Morgan Chase,141
"National University of Singapore, Singapore",140
"National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing 210023, China",140
"Dept. of Comp. Sci. & Tech., Institute for AI, Tsinghua University, Beijing, China",140
Independent Researcher,139
"KTH Royal Institute of Technology, Stockholm, Sweden",139
Beijing Normal University,139
"Max Planck Institute for Intelligent Systems, Tübingen, Germany",139
Harbin Institute of Technology (Shenzhen),137
"Institute of automation, Chinese academy of science",137
Horizon Robotics,137
SenseTime,136
University of Bonn,136
Mila,136
University of Warwick,136
JD AI Research,135
"School of Computer Science and Engineering, Southeast University",135
University of Warsaw,134
"School of Information Science and Technology, ShanghaiTech University",133
Indian Institute of Technology Delhi,132
Johannes Kepler University Linz,131
Anthropic,131
"College of Intelligence and Computing, Tianjin University",131
"Alibaba Group, China",131
Linköping University,131
InstaDeep,131
Weizmann Institute of Science,130
Tohoku University,129
Mila - Quebec AI Institute,129
Waymo,129
Covariant,128
Flatiron Institute,128
"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal",128
"School of Engineering and Applied Sciences, Harvard University",128
"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",128
Clemson University,127
University of Zurich,127
"School of Computing, National University of Singapore",127
"Cooperative Medianet Innovation Center, Shanghai Jiao Tong University",127
"Department of Computer Science, Cornell University",127
Shanghai Engineering Research Center of Intelligent Vision and Imaging,126
Institute of Science and Technology Austria,126
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",125
KAIST AI,125
Megvii Technology Inc.,125
State University of New York at Stony Brook,125
Gwangju Institute of Science and Technology,124
NA VER AI Lab,124
University of Minnesota,124
"Indian Institute of Technology, Delhi",124
"School of Computer Science and Technology, East China Normal University",124
"School of Computer Science and Engineering, Northeastern University, Shenyang, China",123
"School of Computer Science and Technology, Beijing Institute of Technology",123
"Baidu Inc., China",123
"School of Informatics, Xiamen University, China",123
Guangdong University of Technology,123
"School of Electronic and Computer Engineering, Peking University",123
York University,123
Indian Institute of Science,122
Chinese University of Hong Kong,122
Chinese Information Processing Laboratory,122
The University of Queensland,121
"Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Chinese Academy of Sciences",121
"School of Computer Science and Engineering, South China University of Technology",121
University of Helsinki,120
Qualcomm AI Research,120
National Tsing Hua University,120
NVIDIA Research,119
"University of Michigan, Ann Arbor",118
Naver Labs Europe,118
"National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences",118
"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",117
"Center for Data Science, Peking University",117
Sharif University of Technology,117
OPPO Research Institute,117
"Department of Computing, The Hong Kong Polytechnic University",117
Cardiff University,116
Beijing Key Laboratory of Big Data Management and Analysis Methods,116
"School of Computer Science and Engineering, University of Electronic Science and Technology of China",116
"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences",116
NEC Labs America,116
Shanghai Qi Zhi Institute,116
Washington University in St. Louis,116
"College of Computer Science, Sichuan University",116
"Institute for Artificial Intelligence, Peking University",115
iFlyTek-Surrey Joint Research Centre on Artificial Intelligence,115
"Harvard University, Harvard University",115
"Boston University, Boston University",115
CSIRO,115
Waseda University,114
"University of California, Merced",114
"Shanghai Jiao Tong University, China",113
NAVER AI Lab,113
Pengcheng Laboratory,113
TU Berlin,113
Indian Institute of Technology Bombay,113
University of Freiburg,113
Ben-Gurion University of the Negev,113
Brandeis University,113
National Institute of Informatics,112
JD.com,112
Baidu Research,112
Aarhus University,112
"College of Computer Science and Technology, Zhejiang University, China",112
Alibaba DAMO Academy,112
"University of Oxford, University of Oxford",112
The Pennsylvania State University,111
University of Bologna,111
"Institute for Infocomm Research, A*STAR",111
Korea Advanced Institute of Science and Technology,110
Meta AI (FAIR),110
"Technion - Israel Institute of Technology, Technion - Israel Institute of Technology",110
Hanoi University of Science and Technology,110
Technion - Israel Institute of Technology,109
"Department of Computer Science and Engineering, Korea University",109
"School of Software Technology, Zhejiang University",109
State Key Laboratory of Cognitive Intelligence,109
University of Iowa,109
"ARC Lab, Tencent PCG",109
"Department of Computer Science and Engineering, Hong Kong University of Science and Technology",109
Yandex,108
Meta AI Research,108
"Department of Computer Science, ETH Zurich",108
"School of Computer Science and Engineering, Beihang University, Beijing, China",107
"School of Data Science, Fudan University",107
"Institute of Information Science, Beijing Jiaotong University",107
Kakao Brain,106
"School of Engineering and Applied Science, University of Pennsylvania",106
"College of Computer Science and Technology, Jilin University, China",106
Indian Institute of Technology Kharagpur,106
"National Key Laboratory for Novel Software Technology, Nanjing University",105
"Shanghai Key Laboratory of Data Science, School of Computer Science, Fudan University",105
Lawrence Livermore National Labs,105
Heidelberg University,105
Technische Universität Berlin,105
Samsung Research America,105
"Department of Computer Science, University of North Carolina at Chapel Hill",105
"Department of Computer Vision Technology (VIS), Baidu Inc.",104
"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics",104
Waymo LLC,104
MPI-SWS,104
The Australian National University,103
"Department of Computer Science and Technology, Tsinghua University, Beijing, China",103
SmartMore,103
RIKEN AIP,103
"University of Electronic Science and Technology of China, Chengdu, China",103
University of Minnesota - Twin Cities,103
University of Southampton,103
Auburn University,103
"School of Computer Science and Engineering, Southeast University, Nanjing 210096, China",103
University of Colorado Boulder,103
"Department of Computer Science, The University of Hong Kong",102
Facebook,102
"School of Computer Science and Engineering, Nanjing University of Science and Technology, China",102
Guangdong Provincial Key Laboratory of Novel Security Intelligence Technologies,102
University of Bath,102
Beijing University of Post and Telecommunication,102
"University of Chinese Academy of Sciences, Beijing, 100049, China",102
SenseTime Group Limited,101
Illinois Institute of Technology,101
UT Austin,101
"Technical University of Munich, Germany",101
ByteDance Inc,101
"State University of New York, Stony Brook",101
Fondazione Bruno Kessler,100
"Max Planck Institute for Informatics, Saarland Informatics Campus",100
Kyung Hee University,100
Kuaishou- 快手科技,100
Vrije Universiteit Amsterdam,100
"The University of Tokyo, Japan",99
Higher School of Economics,99
New Jersey Institute of Technology,99
"Show Lab, National University of Singapore",99
Bosch Center for Artificial Intelligence,99
"School of Computer Science and Engineering, Sun Yat-sen University",99
University of Delaware,99
"Institute of High Performance Computing, Singapore, A*STAR",98
Syracuse University,98
Shenzhen Campus of Sun Yat-sen University,98
University of California at Merced,97
"Institute for Infocomm Research, A*STAR, Singapore",97
Georgia Tech,97
"NLPR, Institute of Automation, Chinese Academy of Sciences",97
"University of North Carolina, Chapel Hill",97
Universitat Pompeu Fabra,96
University of Sheffield,96
Chalmers University of Technology,96
Facebook AI Research (FAIR),96
"School of Computer Science and Technology, University of Science and Technology of China",96
Saarland University,95
Polytechnique Montreal,95
University of Glasgow,95
Huawei Inc.,95
Fuzhou University,95
"College of Computer Science and Software Engineering, Shenzhen University",95
Cohere,94
"School of Computer Science, Wuhan University, China",94
Adobe Inc.,94
Samsung Research,94
"Dalian University of Technology, China",93
"Visual Geometry Group, University of Oxford",93
"The University of Sydney, Australia",93
"College of Computer Science and Technology, Zhejiang University, Hangzhou, China",93
King’s College London,93
"Peng Cheng Laboratory, China",93
RWTH Aachen University,93
Wormpex AI Research,93
University of Auckland,93
Amazon Development Center Germany,93
Politecnico di Torino,93
"University of Science and Technology of China, China",93
Drexel University,92
The Chinese University of Hong Kong (Shenzhen),92
Hugging Face,92
"Southeast University, China",92
Twitter,92
Academia Sinica,92
Meta Reality Labs Research,91
"IBM, International Business Machines",91
"Department of Computer Science, Princeton University",91
"MoE Key Lab of Artiﬁcial Intelligence, AI Institute, Shanghai Jiao Tong University",91
Indiana University,91
"Key Laboratory of Multimedia Trusted Perception and Efficient Computing, Ministry of Education of China, Xiamen University",91
Borealis AI,90
"Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences (ICT/CAS)",90
Mohamed bin Zayed University of AI,90
LinkedIn,90
"Department of Computer Science, University of Illinois Urbana-Champaign",90
"The University of Adelaide, Australia",90
Macquarie University,90
Institute of Science and Technology,89
"State Key Laboratory of Multimodal Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences",89
"Information Sciences Institute, University of Southern California",89
"Computer Science Department, University of California, Los Angeles",89
"School of Informatics, Xiamen University",89
"Shanghai Key Laboratory of Intelligent Information Processing, Fudan University",89
"The Chinese University of Hong Kong, Hong Kong, China",88
"School of Software Engineering, Xi’an Jiaotong University",88
Technion,88
"Robotics Institute, Carnegie Mellon University",88
HSE University,88
SRI International,88
Universität Freiburg,88
Bosch,87
"School of Computer Science and Engineering, Nanyang Technological University",87
Max-Planck Institute,87
"School of Informatics, University of Edinburgh",87
Toronto University,87
Sensetime,87
NEC Laboratories America,87
The University of Texas at Dallas,87
"NiuTrans Research, Shenyang, China",87
"King's College London, University of London",86
Shanghai Collaborative Innovation Center of Intelligent Visual Computing,86
Beijing University of Technology,86
"Saarland Informatics Campus, Max-Planck Institute",86
University of Basel,86
"Zhongguancun Laboratory, Beijing, China",85
University of Western Ontario,85
Indian Institute of Technology Madras,85
Polytechnic Institute of Milan,85
"University of Maryland, Baltimore County",85
"JD AI Research, Beijing, China",85
Pacific Northwest National Laboratory,85
"IIIS, Tsinghua University",84
Bocconi University,84
"Soochow University, China",84
International Digital Economy Academy (IDEA),84
"State University of New York, Buffalo",83
CUHK,83
Case Western Reserve University,83
The Hebrew University of Jerusalem,83
Jinan University,83
Ecole polytechnique,83
Tel-Aviv University,82
NEC-Labs,82
Inception Institute of Artificial Intelligence,82
Bloomberg,82
"Indian Institute of Science, Bangalore",82
"School of Artificial Intelligence, Nanjing University, China",81
"School of Computer Science and Technology, University of Chinese Academy of Sciences",81
"University of Texas, Dallas",81
Tencent PCG,81
"College of Computing, Georgia Institute of Technology",81
"National Laboratory of Pattern Recognition, Institute of Automation, CAS, Beijing, China",81
"Microsoft Research Asia, Beijing, China",81
King's College London,81
Southwest Jiaotong University,81
"Computer Vision Lab, ETH Zurich, Switzerland",81
Johannes Kepler Universität Linz,81
"Key Laboratory of Shanghai Education Commission for Intelligent Interaction and Cognitive Engineering, Shanghai Jiao Tong University",80
Tufts University,80
"National Engineering Research Center of Visual Technology, School of Computer Science, Peking University",80
"NLP Lab, School of Computer Science and Engineering, Northeastern University, Shenyang, China",80
"David R. Cheriton School of Computer Science, University of Waterloo",80
University of Oregon,80
"Robert Bosch GmbH, Bosch",80
Los Alamos National Laboratory,79
"Department of Computer Science, University of North Carolina, Chapel Hill",79
ServiceNow Research,79
University of Texas at Arlington,79
Griffith University,79
Idiap Research Institute,79
"Shanghai Key Lab of Intell. Info. Processing, School of CS, Fudan University",79
"VinAI Research, Vietnam",79
Alibaba Group US,79
"The Wharton School, University of Pennsylvania",79
Sony Group Corporation,79
"Ant Group, Hangzhou, China",79
McMaster University,78
Wayne State University,78
"JD Explore Academy, China",78
University of Pisa,78
