                                                                                   Error Summary by Conference                                                                                   
┏━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━┓
┃ Conference      ┃ Error Parsing JSON ┃ Input mismatch ┃ Missing LLM Output ┃ Missing aff ┃ Success Rate         ┃ Tokens per Paper ┃ completion_tokens ┃ prompt_tokens    ┃ total_tokens      ┃
│ affiliations-37 │ 27 (0.03%)         │ 0 (0.00%)      │ 50961 (51.61%)     │ 3 (0.00%)   │ 47759/98747 (48.37%) │ 13.08 (100.00%)  │ 124358 (9.63%)    │ 1167334 (90.37%) │ 1291692 (100.00%) │
│ affiliations-38 │ 29 (0.03%)         │ 0 (0.00%)      │ 49420 (50.05%)     │ 3 (0.00%)   │ 49298/98747 (49.92%) │ 13.16 (100.00%)  │ 128993 (9.93%)    │ 1170069 (90.07%) │ 1299062 (100.00%) │
│ affiliations-39 │ 31 (0.03%)         │ 0 (0.00%)      │ 47880 (48.49%)     │ 3 (0.00%)   │ 50836/98747 (51.48%) │ 13.14 (100.00%)  │ 128863 (9.93%)    │ 1169073 (90.07%) │ 1297936 (100.00%) │
│ affiliations-4  │ 31 (0.03%)         │ 0 (0.00%)      │ 46338 (46.93%)     │ 3 (0.00%)   │ 52378/98747 (53.04%) │ 13.08 (100.00%)  │ 125052 (9.68%)    │ 1166238 (90.32%) │ 1291290 (100.00%) │
│ affiliations-40 │ 31 (0.03%)         │ 0 (0.00%)      │ 44795 (45.36%)     │ 3 (0.00%)   │ 53921/98747 (54.61%) │ 13.14 (100.00%)  │ 127547 (9.83%)    │ 1169712 (90.17%) │ 1297259 (100.00%) │
│ affiliations-41 │ 33 (0.03%)         │ 0 (0.00%)      │ 43257 (43.81%)     │ 3 (0.00%)   │ 55457/98747 (56.16%) │ 13.11 (100.00%)  │ 126114 (9.75%)    │ 1168020 (90.25%) │ 1294134 (100.00%) │
│ affiliations-42 │ 34 (0.03%)         │ 0 (0.00%)      │ 41716 (42.25%)     │ 3 (0.00%)   │ 56997/98747 (57.72%) │ 13.08 (100.00%)  │ 123297 (9.55%)    │ 1168260 (90.45%) │ 1291557 (100.00%) │
│ affiliations-43 │ 34 (0.03%)         │ 0 (0.00%)      │ 40173 (40.68%)     │ 3 (0.00%)   │ 58540/98747 (59.28%) │ 13.07 (100.00%)  │ 122345 (9.48%)    │ 1168638 (90.52%) │ 1290983 (100.00%) │
│ affiliations-44 │ 35 (0.04%)         │ 0 (0.00%)      │ 38631 (39.12%)     │ 3 (0.00%)   │ 60081/98747 (60.84%) │ 13.04 (100.00%)  │ 120861 (9.38%)    │ 1167290 (90.62%) │ 1288151 (100.00%) │
│ affiliations-45 │ 35 (0.04%)         │ 0 (0.00%)      │ 37089 (37.56%)     │ 3 (0.00%)   │ 61623/98747 (62.40%) │ 13.09 (100.00%)  │ 124649 (9.64%)    │ 1168214 (90.36%) │ 1292863 (100.00%) │
